language,date,condition,speaker,duration,start,end,IOI
Mandarin,13012,conv,17,0.182164108,89.38378427,89.56594838,5.489555599
Mandarin,13012,conv,17,0.179481538,89.56594838,89.74542992,5.571603703
Mandarin,13012,conv,17,0.162549317,89.74542992,89.90797923,6.151979089
Mandarin,13012,conv,17,0.104979767,89.90797923,90.012959,9.525645041
Mandarin,13012,conv,17,0.260756196,90.012959,90.2737152,3.834999952
Mandarin,13012,conv,17,0.338644411,90.2737152,90.61235961,2.952949963
Mandarin,13012,conv,17,0.226891755,90.61235961,90.83925136,4.407388004
Mandarin,13012,conv,17,0.308166414,90.83925136,91.14741778,3.244999959
Mandarin,13012,conv,17,0.504580172,91.14741778,91.65199795,1.981845613
Mandarin,13012,conv,17,0.13207132,91.74443359,91.87650491,7.571666571
Mandarin,13012,conv,17,0.149003541,91.87650491,92.02550845,6.711249915
Mandarin,13012,conv,17,0.524898837,92.02550845,92.55040728,1.905129008
Mandarin,13012,conv,17,0.108366211,92.86580188,92.97416809,9.227968633
Mandarin,13012,conv,17,0.101593323,92.97416809,93.07576141,9.843166542
Mandarin,13012,conv,17,0.149003541,93.07576141,93.22476496,6.711249915
Mandarin,13012,conv,17,0.162549317,93.22476496,93.38731427,6.151979089
Mandarin,13012,conv,17,0.142230653,93.38731427,93.52954492,7.030833244
Mandarin,13012,conv,17,0.138844208,93.52954492,93.66838913,7.202316982
Mandarin,13012,conv,17,0.179481538,93.66838913,93.84787067,5.571603703
Mandarin,13012,conv,17,0.145617097,93.84787067,93.99348777,6.867325495
Mandarin,13012,conv,17,0.128684876,93.99348777,94.12217264,7.770920954
Mandarin,13012,conv,17,0.216732423,94.12217264,94.33890507,4.613984317
Mandarin,13012,conv,17,0.240437532,94.33890507,94.5793426,4.159084454
Mandarin,13012,conv,17,0.155776429,94.5793426,94.73511903,6.419456441
Mandarin,13012,conv,17,0.182867982,94.73511903,94.91798701,5.468425857
Mandarin,13012,conv,17,0.111752656,94.91798701,95.02973966,8.94833322
Mandarin,13012,conv,17,0.216732423,95.02973966,95.24647209,4.613984317
Mandarin,13012,conv,17,0.241778817,95.24647209,95.4882509,4.136011636
Mandarin,13012,conv,17,0.430078402,95.4882509,95.91832931,2.325157451
Mandarin,13012,conv,17,0.250596864,95.91832931,96.16892617,3.990472923
