language,date,condition,speaker,duration,start,end,IOI
Mandarin,13012,sing,13,0.176095094,12.08712411,12.2632192,5.678749928
Mandarin,13012,sing,13,0.345417299,12.2632192,12.6086365,2.895048983
Mandarin,13012,sing,13,0.514739504,12.6086365,13.12337601,1.942730239
Mandarin,13012,sing,13,0.602787051,13.12337601,13.72616306,1.658960653
Mandarin,13012,sing,13,0.399600405,13.72616306,14.12576346,2.502499968
Mandarin,13012,sing,13,0.30477997,14.12576346,14.43054343,3.281055514
Mandarin,13012,sing,13,0.507966616,14.43054343,14.93851005,1.968633308
Mandarin,13012,sing,13,0.358963075,14.93851005,15.29747312,2.785801852
Mandarin,13012,sing,13,0.277688417,15.29747312,15.57516154,3.601158491
Mandarin,13012,sing,13,0.491180916,15.57516154,16.06634246,2.035909719
Mandarin,13012,sing,13,0.212960333,47.34456462,47.55752495,4.695710156
Mandarin,13012,sing,13,0.203186646,47.55752495,47.7607116,4.921583271
Mandarin,13012,sing,13,0.562149722,47.7607116,48.32286132,1.77888552
Mandarin,13012,sing,13,0.507966616,48.32286132,48.83082793,1.968633308
Mandarin,13012,sing,13,0.325098634,48.83082793,49.15592657,3.075989544
Mandarin,13012,sing,13,0.345417299,49.15592657,49.50134387,2.895048983
Mandarin,13012,sing,13,0.216732423,49.50134387,49.71807629,4.613984317
Mandarin,13012,sing,13,0.250596864,49.71807629,49.96867315,3.990472923
Mandarin,13012,sing,13,0.291234193,49.96867315,50.25990735,3.433662747
Mandarin,13012,sing,13,0.284461305,50.25990735,50.54436865,3.515416622
Mandarin,13012,sing,13,0.471101376,50.54436865,51.01547003,2.122685371
Mandarin,13012,sing,13,0.244063101,97.80499402,98.04905712,4.09730105
Mandarin,13012,sing,13,0.284461305,98.04905712,98.33351843,3.515416622
Mandarin,13012,sing,13,0.555376834,98.33351843,98.88889526,1.800579246
Mandarin,13012,sing,13,0.447010622,98.88889526,99.33590588,2.237083305
Mandarin,13012,sing,13,0.460556399,99.33590588,99.79646228,2.171286737
Mandarin,13012,sing,13,0.291234193,99.79646228,100.0876965,3.433662747
Mandarin,13012,sing,13,0.237051088,100.0876965,100.3247476,4.218499947
Mandarin,13012,sing,13,0.270915529,100.3247476,100.5956631,3.691187453
Mandarin,13012,sing,13,0.26414264,100.5956631,100.8598057,3.785833285
