language,date,condition,speaker,duration,start,end,IOI
Mandarin,13011,sing,7,0.277688417,9.371145353,9.64883377,3.601158491
Mandarin,13011,sing,7,0.26414264,9.64883377,9.91297641,3.785833285
Mandarin,13011,sing,7,0.223505311,9.91297641,10.13648172,4.47416661
Mandarin,13011,sing,7,0.386054628,10.13648172,10.52253635,2.590306985
Mandarin,13011,sing,7,0.30477997,10.52253635,10.82731632,3.281055514
Mandarin,13011,sing,7,0.426691958,10.82731632,11.25400828,2.343611081
Mandarin,13011,sing,7,0.30477997,11.25400828,11.55878825,3.281055514
Mandarin,13011,sing,7,0.352190187,11.55878825,11.91097843,2.839374964
Mandarin,13011,sing,7,0.405089615,11.91097843,12.31606805,2.468589573
Mandarin,13011,sing,7,0.536642618,29.64606803,30.18271065,1.863437539
Mandarin,13011,sing,7,0.345417299,30.18271065,30.52812795,2.895048983
Mandarin,13011,sing,7,0.284461305,30.52812795,30.81258926,3.515416622
Mandarin,13011,sing,7,0.819519474,30.81258926,31.63210873,1.220227257
Mandarin,13011,sing,7,0.338644411,31.63210873,31.97075314,2.952949963
Mandarin,13011,sing,7,0.196413758,31.97075314,32.1671669,5.091293039
Mandarin,13011,sing,7,0.270915529,32.1671669,32.43808243,3.691187453
Mandarin,13011,sing,7,0.250596864,32.43808243,32.68867929,3.990472923
Mandarin,13011,sing,7,0.257369752,32.68867929,32.94604904,3.885460477
Mandarin,13011,sing,7,0.596014163,32.94604904,33.54206321,1.677812479
Mandarin,13011,sing,7,0.487975587,51.95343186,52.44140744,2.049282847
Mandarin,13011,sing,7,0.318325746,52.44140744,52.75973319,3.14143613
Mandarin,13011,sing,7,0.345417299,52.75973319,53.10515049,2.895048983
Mandarin,13011,sing,7,0.49442084,53.10515049,53.59957133,2.022568468
Mandarin,13011,sing,7,0.331871523,53.87725975,54.20913127,3.013214248
Mandarin,13011,sing,7,0.419919069,54.20913127,54.62905034,2.38141126
Mandarin,13011,sing,7,0.284461305,54.62905034,54.91351164,3.515416622
Mandarin,13011,sing,7,0.318325746,54.91351164,55.23183739,3.14143613
Mandarin,13011,sing,7,0.514411869,55.23183739,55.74624926,1.943967588
Mandarin,13011,sing,7,0.493137162,73.84672032,74.33985748,2.027833385
Mandarin,13011,sing,7,0.562149722,74.33985748,74.90200721,1.77888552
