language,date,condition,speaker,duration,start,end,IOI
Mandarin,13011,sing,10,0.269959486,21.64843114,21.91839063,3.704259532
Mandarin,13011,sing,10,0.250596864,21.91839063,22.16898749,3.990472923
Mandarin,13011,sing,10,0.45378351,22.16898749,22.622771,2.203694002
Mandarin,13011,sing,10,0.582468386,22.622771,23.20523939,1.716831374
Mandarin,13011,sing,10,0.413146181,23.63193135,24.04507753,2.420450789
Mandarin,13011,sing,10,0.460556399,24.04507753,24.50563393,2.171286737
Mandarin,13011,sing,10,0.372508852,24.50563393,24.87814278,2.684499966
Mandarin,13011,sing,10,0.209959535,24.87814278,25.08810231,4.76282252
Mandarin,13011,sing,10,0.766292411,25.08810231,25.85439472,1.304984868
Mandarin,13011,sing,10,0.41508513,42.89671078,43.31179591,2.409144362
Mandarin,13011,sing,10,0.616332828,43.31179591,43.92812873,1.622499979
Mandarin,13011,sing,10,0.616332828,43.92812873,44.54446156,1.622499979
Mandarin,13011,sing,10,0.358963075,44.54446156,44.90342464,2.785801852
Mandarin,13011,sing,10,0.30477997,44.90342464,45.20820461,3.281055514
Mandarin,13011,sing,10,0.582468386,45.20820461,45.79067299,1.716831374
Mandarin,13011,sing,10,0.325098634,45.79067299,46.11577163,3.075989544
Mandarin,13011,sing,10,0.30477997,46.11577163,46.4205516,3.281055514
Mandarin,13011,sing,10,0.560210773,46.4205516,46.98076237,1.78504243
Mandarin,13011,sing,10,0.460556399,64.23139978,64.69195618,2.171286737
Mandarin,13011,sing,10,0.365735964,64.69195618,65.05769214,2.734212928
Mandarin,13011,sing,10,0.345417299,65.05769214,65.40310944,2.895048983
Mandarin,13011,sing,10,0.284461305,65.40310944,65.68757075,3.515416622
Mandarin,13011,sing,10,0.26414264,65.68757075,65.95171339,3.785833285
Mandarin,13011,sing,10,0.291234193,65.95171339,66.24294758,3.433662747
Mandarin,13011,sing,10,0.298007081,66.24294758,66.54095466,3.355624958
Mandarin,13011,sing,10,0.596014163,66.54095466,67.13696883,1.677812479
Mandarin,13011,sing,10,0.352190187,67.13696883,67.48915901,2.839374964
Mandarin,13011,sing,10,0.298007081,67.48915901,67.78716609,3.355624958
Mandarin,13011,sing,10,0.487647951,67.78716609,68.27481405,2.050659696
Mandarin,13011,sing,10,0.623105716,87.42445438,88.04756009,1.60486411
