language,date,condition,speaker,duration,start,end,IOI
Mandarin,13012,conv,11,0.170528579,0.0,0.170528579,5.864119715
Mandarin,13012,conv,11,0.108366211,0.170528579,0.27889479,9.227968633
Mandarin,13012,conv,11,0.149003541,0.27889479,0.427898331,6.711249915
Mandarin,13012,conv,11,0.175491907,0.427898331,0.603390238,5.69826847
Mandarin,13012,conv,11,0.13207132,0.603390238,0.735461558,7.571666571
Mandarin,13012,conv,11,0.250596864,0.735461558,0.986058422,3.990472923
Mandarin,13012,conv,11,0.084661103,0.986058422,1.070719525,11.81179985
Mandarin,13012,conv,11,0.094820435,1.070719525,1.16553996,10.54624987
Mandarin,13012,conv,11,0.142230653,1.16553996,1.307770612,7.030833244
Mandarin,13012,conv,11,0.138844208,1.307770612,1.44661482,7.202316982
Mandarin,13012,conv,11,0.13207132,1.44661482,1.578686141,7.571666571
Mandarin,13012,conv,11,0.155776429,1.578686141,1.73446257,6.419456441
Mandarin,13012,conv,11,0.199800202,1.73446257,1.934262772,5.004999937
Mandarin,13012,conv,11,0.216732423,1.934262772,2.150995195,4.613984317
Mandarin,13012,conv,11,0.199800202,2.150995195,2.350795397,5.004999937
Mandarin,13012,conv,11,0.128684876,2.350795397,2.479480273,7.770920954
Mandarin,13012,conv,11,0.162549317,2.479480273,2.64202959,6.151979089
Mandarin,13012,conv,11,0.118525544,2.803966093,2.922491636,8.436999893
Mandarin,13012,conv,11,0.145617097,2.922491636,3.068108733,6.867325495
Mandarin,13012,conv,11,0.111752656,3.068108733,3.179861389,8.94833322
Mandarin,13012,conv,11,0.172708649,3.179861389,3.352570038,5.790097966
Mandarin,13012,conv,11,0.209959535,3.352570038,3.562529573,4.76282252
Mandarin,13012,conv,11,0.360179077,3.562529573,3.922708649,2.776396699
Mandarin,13012,conv,11,0.125298432,5.97870328,6.104001712,7.980945845
Mandarin,13012,conv,11,0.125298432,6.104001712,6.229300144,7.980945845
Mandarin,13012,conv,11,0.220118867,6.229300144,6.449419011,4.542999943
Mandarin,13012,conv,11,0.155776429,6.812132765,6.967909194,6.419456441
Mandarin,13012,conv,11,0.474102175,6.967909194,7.442011369,2.109249973
Mandarin,13012,conv,11,0.257369752,8.006843661,8.264213414,3.885460477
Mandarin,13012,conv,11,0.277688417,8.264213414,8.54190183,3.601158491
