language,date,condition,speaker,duration,start,end,IOI
Mandarin,13012,conv,15,0.088047547,75.68274584,75.77079339,11.35749986
Mandarin,13012,conv,15,0.118525544,75.77079339,75.88931893,8.436999893
Mandarin,13012,conv,15,0.152389985,75.88931893,76.04170892,6.562111028
Mandarin,13012,conv,15,0.182867982,76.04170892,76.2245769,5.468425857
Mandarin,13012,conv,15,0.145617097,76.2245769,76.37019399,6.867325495
Mandarin,13012,conv,15,0.301393526,76.37019399,76.67158752,3.317921306
Mandarin,13012,conv,15,0.535058169,76.67158752,77.20664569,1.868955673
Mandarin,13012,conv,15,0.108366211,77.30485257,77.41321878,9.227968633
Mandarin,13012,conv,15,0.172708649,77.41321878,77.58592743,5.790097966
Mandarin,13012,conv,15,0.314939302,77.58592743,77.90086673,3.175215014
Mandarin,13012,conv,15,0.162549317,77.90086673,78.06341605,6.151979089
Mandarin,13012,conv,15,0.298007081,78.06341605,78.36142313,3.355624958
Mandarin,13012,conv,15,0.111934773,78.67977347,78.79170824,8.933774303
Mandarin,13012,conv,15,0.169322205,78.79170824,78.96103045,5.905899925
Mandarin,13012,conv,15,0.152389985,78.96103045,79.11342043,6.562111028
Mandarin,13012,conv,15,0.104979767,79.11342043,79.2184002,9.525645041
Mandarin,13012,conv,15,0.084661103,79.2184002,79.3030613,11.81179985
Mandarin,13012,conv,15,0.062126459,79.3030613,79.36518776,16.09620151
Mandarin,13012,conv,15,0.067728882,79.36518776,79.43291665,14.76474981
Mandarin,13012,conv,15,0.059785529,79.43291665,79.49270217,16.72645564
Mandarin,13012,conv,15,0.094297678,79.49270217,79.58699985,10.60471502
Mandarin,13012,conv,15,0.143923875,79.58699985,79.73092373,6.948117559
Mandarin,13012,conv,15,0.252812843,79.73092373,79.98373657,3.955495249
Mandarin,13012,conv,15,0.19810698,80.11192367,80.31003065,5.047777714
Mandarin,13012,conv,15,0.331871523,80.31003065,80.64190217,3.013214248
Mandarin,13012,conv,15,0.165935761,80.64190217,80.80783793,6.026428495
Mandarin,13012,conv,15,0.084661103,80.80783793,80.89249903,11.81179985
Mandarin,13012,conv,15,0.113445878,80.89249903,81.00594491,8.814776008
Mandarin,13012,conv,15,0.164242539,81.00594491,81.17018745,6.088556624
Mandarin,13012,conv,15,0.221812089,81.17018745,81.39199954,4.508320554
