language,date,condition,speaker,duration,start,end,IOI
Mandarin,13012,sing,17,0.532003455,30.57159257,31.10359603,1.87968704
Mandarin,13012,sing,17,0.514739504,31.10359603,31.61833553,1.942730239
Mandarin,13012,sing,17,0.819519474,31.61833553,32.43785501,1.220227257
Mandarin,13012,sing,17,0.30477997,32.43785501,32.74263498,3.281055514
Mandarin,13012,sing,17,0.311552858,32.74263498,33.05418784,3.20972822
Mandarin,13012,sing,17,0.18964087,33.05418784,33.24382871,5.273124933
Mandarin,13012,sing,17,0.237051088,33.24382871,33.48087979,4.218499947
Mandarin,13012,sing,17,0.311552858,33.48087979,33.79243265,3.20972822
Mandarin,13012,sing,17,0.592295988,34.15139573,34.74369171,1.68834505
Mandarin,13012,sing,17,0.579652798,66.48905795,67.06871075,1.72517066
Mandarin,13012,sing,17,0.541831057,67.06871075,67.61054181,1.845593727
Mandarin,13012,sing,17,0.677288821,67.61054181,68.28783063,1.476474981
Mandarin,13012,sing,17,0.318325746,68.28783063,68.60615637,3.14143613
Mandarin,13012,sing,17,0.325098634,68.60615637,68.93125501,3.075989544
Mandarin,13012,sing,17,0.284461305,68.93125501,69.21571631,3.515416622
Mandarin,13012,sing,17,0.26414264,69.21571631,69.47985895,3.785833285
Mandarin,13012,sing,17,0.257369752,69.47985895,69.7372287,3.885460477
Mandarin,13012,sing,17,0.835880839,69.7372287,70.57310954,1.196342772
Mandarin,13012,sing,17,0.536678131,115.5857456,116.1224237,1.863314233
Mandarin,13012,sing,17,0.589241275,116.1224237,116.711665,1.69709768
Mandarin,13012,sing,17,0.839838139,116.711665,117.5515031,1.19070563
Mandarin,13012,sing,17,0.352190187,117.5515031,117.9036933,2.839374964
Mandarin,13012,sing,17,0.250596864,117.9036933,118.1542902,3.990472923
Mandarin,13012,sing,17,0.270915529,118.1542902,118.4252057,3.691187453
Mandarin,13012,sing,17,0.26414264,118.4252057,118.6893483,3.785833285
Mandarin,13012,sing,17,0.209959535,118.6893483,118.8993079,4.76282252
Mandarin,13012,sing,17,0.499573766,118.8993079,119.3988816,2.001706391
