language,date,condition,speaker,duration,start,end,IOI
Mandarin,13011,conv,9,0.10788849,80.71416156,80.82205005,9.268829308
Mandarin,13011,conv,9,0.182867982,80.82205005,81.00491804,5.468425857
Mandarin,13011,conv,9,0.138844208,81.00491804,81.14376224,7.202316982
Mandarin,13011,conv,9,0.146094818,81.14376224,81.28985706,6.844869755
Mandarin,13011,conv,9,0.22302759,81.28985706,81.51288465,4.483750197
Mandarin,13011,conv,9,0.186254426,81.51288465,81.69913908,5.368999932
Mandarin,13011,conv,9,0.142230653,81.69913908,81.84136973,7.030833244
Mandarin,13011,conv,9,0.142230653,81.84136973,81.98360038,7.030833244
Mandarin,13011,conv,9,0.241454131,81.98360038,82.22505451,4.141573375
Mandarin,13011,conv,9,0.094820435,82.22505451,82.31987495,10.54624987
Mandarin,13011,conv,9,0.125298432,82.31987495,82.44517338,7.980945845
Mandarin,13011,conv,9,0.176095094,82.44517338,82.62126847,5.678749928
Mandarin,13011,conv,9,0.169322205,82.62126847,82.79059068,5.905899925
Mandarin,13011,conv,9,0.284461305,82.79059068,83.07505198,3.515416622
Mandarin,13011,conv,9,0.138844208,83.07505198,83.21389619,7.202316982
Mandarin,13011,conv,9,0.243285098,83.21389619,83.45718129,4.110403842
Mandarin,13011,conv,9,0.1151391,84.35053628,84.46567538,8.685146949
Mandarin,13011,conv,9,0.108366211,84.46567538,84.57404159,9.227968633
Mandarin,13011,conv,9,0.277688417,84.57404159,84.85173001,3.601158491
Mandarin,13011,conv,9,0.237051088,84.85173001,85.0887811,4.218499947
Mandarin,13011,conv,9,0.176095094,85.0887811,85.26487619,5.678749928
Mandarin,13011,conv,9,0.237051088,85.26487619,85.50192728,4.218499947
Mandarin,13011,conv,9,0.121911988,85.50192728,85.62383927,8.202638785
Mandarin,13011,conv,9,0.104979767,85.62383927,85.72881903,9.525645041
Mandarin,13011,conv,9,0.186254426,85.72881903,85.91507346,5.368999932
Mandarin,13011,conv,9,0.189048409,85.91507346,86.10412187,5.289650446
Mandarin,13011,conv,9,0.26414264,86.10412187,86.36826451,3.785833285
Mandarin,13011,conv,9,0.169322205,86.36826451,86.53758671,5.905899925
Mandarin,13011,conv,9,0.162549317,86.53758671,86.70013603,6.151979089
Mandarin,13011,conv,9,0.138844208,86.70013603,86.83898024,7.202316982
