language,date,condition,speaker,duration,start,end,IOI
Mandarin,13011,sing,9,0.535058169,17.11493589,17.64999406,1.868955673
Mandarin,13011,sing,9,0.352190187,17.64999406,18.00218425,2.839374964
Mandarin,13011,sing,9,0.230278199,18.00218425,18.23246245,4.342573474
Mandarin,13011,sing,9,0.216732423,18.23246245,18.44919487,4.613984317
Mandarin,13011,sing,9,0.243823976,18.44919487,18.69301884,4.101319393
Mandarin,13011,sing,9,0.37928174,18.69301884,19.07230058,2.636562467
Mandarin,13011,sing,9,0.30477997,19.07230058,19.37708055,3.281055514
Mandarin,13011,sing,9,0.365735964,19.37708055,19.74281652,2.734212928
Mandarin,13011,sing,9,0.311552858,19.74281652,20.05436938,3.20972822
Mandarin,13011,sing,9,0.284461305,20.05436938,20.33883068,3.515416622
Mandarin,13011,sing,9,0.656970157,20.33883068,20.99580084,1.522139156
Mandarin,13011,sing,9,0.469268235,38.50443641,38.97370464,2.130977391
Mandarin,13011,sing,9,0.237051088,38.97370464,39.21075573,4.218499947
Mandarin,13011,sing,9,0.311552858,39.21075573,39.52230859,3.20972822
Mandarin,13011,sing,9,0.338644411,39.52230859,39.860953,2.952949963
Mandarin,13011,sing,9,0.270915529,39.860953,40.13186853,3.691187453
Mandarin,13011,sing,9,0.26414264,40.13186853,40.39601117,3.785833285
Mandarin,13011,sing,9,0.250596864,40.39601117,40.64660803,3.990472923
Mandarin,13011,sing,9,0.541831057,40.64660803,41.18843909,1.845593727
Mandarin,13011,sing,9,0.250596864,41.18843909,41.43903595,3.990472923
Mandarin,13011,sing,9,0.270915529,41.43903595,41.70995148,3.691187453
Mandarin,13011,sing,9,0.546664997,41.70995148,42.25661648,1.829273881
Mandarin,13011,sing,9,0.487975587,59.66174664,60.14972223,2.049282847
Mandarin,13011,sing,9,0.345417299,60.14972223,60.49513953,2.895048983
Mandarin,13011,sing,9,0.318325746,60.49513953,60.81346527,3.14143613
Mandarin,13011,sing,9,0.704380374,60.81346527,61.51784565,1.419687482
Mandarin,13011,sing,9,0.284461305,61.51784565,61.80230695,3.515416622
Mandarin,13011,sing,9,0.291234193,61.80230695,62.09354114,3.433662747
Mandarin,13011,sing,9,0.257369752,62.09354114,62.3509109,3.885460477
Mandarin,13011,sing,9,0.203186646,62.3509109,62.55409754,4.921583271
