time,f0,language,date,speaker,condition
0.0,0.0,Mandarin,013010,s1,sing
0.009977324263038548,0.0,Mandarin,013010,s1,sing
0.019954648526077097,0.0,Mandarin,013010,s1,sing
0.029931972789115645,0.0,Mandarin,013010,s1,sing
0.039909297052154194,0.0,Mandarin,013010,s1,sing
0.049886621315192746,0.0,Mandarin,013010,s1,sing
0.05986394557823129,0.0,Mandarin,013010,s1,sing
0.06984126984126984,0.0,Mandarin,013010,s1,sing
0.07981859410430839,0.0,Mandarin,013010,s1,sing
0.08979591836734693,0.0,Mandarin,013010,s1,sing
0.09977324263038549,0.0,Mandarin,013010,s1,sing
0.10975056689342404,0.0,Mandarin,013010,s1,sing
0.11972789115646258,0.0,Mandarin,013010,s1,sing
0.12970521541950114,0.0,Mandarin,013010,s1,sing
0.13968253968253969,0.0,Mandarin,013010,s1,sing
0.14965986394557823,0.0,Mandarin,013010,s1,sing
0.15963718820861678,0.0,Mandarin,013010,s1,sing
0.16961451247165532,0.0,Mandarin,013010,s1,sing
0.17959183673469387,0.0,Mandarin,013010,s1,sing
0.18956916099773244,0.0,Mandarin,013010,s1,sing
0.19954648526077098,0.0,Mandarin,013010,s1,sing
0.20952380952380953,0.0,Mandarin,013010,s1,sing
0.21950113378684807,0.0,Mandarin,013010,s1,sing
0.22947845804988662,0.0,Mandarin,013010,s1,sing
0.23945578231292516,0.0,Mandarin,013010,s1,sing
0.2494331065759637,0.0,Mandarin,013010,s1,sing
0.2594104308390023,0.0,Mandarin,013010,s1,sing
0.2693877551020408,0.0,Mandarin,013010,s1,sing
0.27936507936507937,0.0,Mandarin,013010,s1,sing
0.2893424036281179,0.0,Mandarin,013010,s1,sing
0.29931972789115646,0.0,Mandarin,013010,s1,sing
0.309297052154195,0.0,Mandarin,013010,s1,sing
0.31927437641723355,0.0,Mandarin,013010,s1,sing
0.3292517006802721,124.54496223588232,Mandarin,013010,s1,sing
0.33922902494331064,123.82763603774403,Mandarin,013010,s1,sing
0.3492063492063492,122.40535433046551,Mandarin,013010,s1,sing
0.35918367346938773,122.40535433046551,Mandarin,013010,s1,sing
0.3691609977324263,121.70035136705908,Mandarin,013010,s1,sing
0.3791383219954649,120.99940892192926,Mandarin,013010,s1,sing
0.3891156462585034,119.60961217374037,Mandarin,013010,s1,sing
0.39909297052154197,119.60961217374037,Mandarin,013010,s1,sing
0.4090702947845805,118.9207115002721,Mandarin,013010,s1,sing
0.41904761904761906,118.9207115002721,Mandarin,013010,s1,sing
0.4290249433106576,118.9207115002721,Mandarin,013010,s1,sing
0.43900226757369615,118.9207115002721,Mandarin,013010,s1,sing
0.4489795918367347,119.60961217374037,Mandarin,013010,s1,sing
0.45895691609977324,119.60961217374037,Mandarin,013010,s1,sing
0.4689342403628118,120.30250360821167,Mandarin,013010,s1,sing
0.47891156462585033,120.30250360821167,Mandarin,013010,s1,sing
0.4888888888888889,120.99940892192926,Mandarin,013010,s1,sing
0.4988662131519274,121.70035136705908,Mandarin,013010,s1,sing
0.508843537414966,122.40535433046551,Mandarin,013010,s1,sing
0.5188208616780046,122.40535433046551,Mandarin,013010,s1,sing
0.5287981859410431,123.1144413344916,Mandarin,013010,s1,sing
0.5387755102040817,123.1144413344916,Mandarin,013010,s1,sing
0.5487528344671202,123.1144413344916,Mandarin,013010,s1,sing
0.5587301587301587,123.1144413344916,Mandarin,013010,s1,sing
0.5687074829931973,122.40535433046551,Mandarin,013010,s1,sing
0.5786848072562358,122.40535433046551,Mandarin,013010,s1,sing
0.5886621315192744,121.70035136705908,Mandarin,013010,s1,sing
0.5986394557823129,121.70035136705908,Mandarin,013010,s1,sing
0.6086167800453515,121.70035136705908,Mandarin,013010,s1,sing
0.61859410430839,121.70035136705908,Mandarin,013010,s1,sing
0.6285714285714286,121.70035136705908,Mandarin,013010,s1,sing
0.6385487528344671,122.40535433046551,Mandarin,013010,s1,sing
0.6485260770975056,123.1144413344916,Mandarin,013010,s1,sing
0.6585034013605442,123.82763603774403,Mandarin,013010,s1,sing
0.6684807256235827,125.26644386241281,Mandarin,013010,s1,sing
0.6784580498866213,126.72196982870622,Mandarin,013010,s1,sing
0.6884353741496598,126.72196982870622,Mandarin,013010,s1,sing
0.6984126984126984,126.72196982870622,Mandarin,013010,s1,sing
0.7083900226757369,126.72196982870622,Mandarin,013010,s1,sing
0.7183673469387755,126.72196982870622,Mandarin,013010,s1,sing
0.728344671201814,126.72196982870622,Mandarin,013010,s1,sing
0.7383219954648526,125.99210498948732,Mandarin,013010,s1,sing
0.7482993197278912,124.54496223588232,Mandarin,013010,s1,sing
0.7582766439909298,123.82763603774403,Mandarin,013010,s1,sing
0.7682539682539683,123.1144413344916,Mandarin,013010,s1,sing
